OrigName,OrigLat,OrigLon,DestName,DestLat,DestLon,
Harbin,45.75,126.65,Xiantao,30.3704,113.44,
San Francisco,37.7562,-122.443,Khulna,22.84,89.56,
Fortaleza,-3.75,-38.58,Weifang,36.7204,119.1001,
Zhangzhou,24.5204,117.67,Tijuana,32.5,-117.08,
Detroit,42.3834,-83.1024,Santiago,19.5,-70.67,
Salvador,-12.97,-38.48,Xinyang,32.1304,114.07,
Busan,35.0951,129.01,Luzhou,28.88,105.38,
Johannesburg,-26.17,28.03,Perth,-31.955,115.84,
Berlin,52.5218,13.4015,Toluca,19.3304,-99.67,
Algiers,36.7631,3.0506,Vishākhapatnam,17.73,83.305,
Rome,41.896,12.4833,Leeds,53.83,-1.58,
Pyongyang,39.0194,125.7547,Kōbe,34.68,135.17,
Medellín,6.275,-75.575,Columbus,39.986,-82.9851,
Kabul,34.5167,69.1833,Multan,30.2,71.455,
Athens,37.9833,23.7333,Kochi,10.015,76.2239,
Nagoya,35.155,136.915,Montevideo,-34.858,-56.1711,
Cape Town,-33.92,18.435,Gujranwala,32.1604,74.185,
San Diego,32.8312,-117.1225,Niterói,-22.9,-43.1,
Changchun,43.865,125.34,Ganzhou,25.92,114.95,
Casablanca,33.6,-7.6164,Florence,43.78,11.25,
Dalian,38.9228,121.6298,Liuzhou,24.28,109.25,
Cawnpore,26.46,80.32,Bamako,12.65,-8,
Kano,12,8.52,Conakry,9.5315,-13.6802,
Tel Aviv-Yafo,32.08,34.77,Bursa,40.2,29.07,
Addis Ababa,9.0333,38.7,León de los Aldama,21.15,-101.7,
Curitiba,-25.42,-49.32,Virginia Beach,36.7335,-76.0435,
Zibo,36.8,118.05,Nāsik,20.0004,73.78,
Jeddah,21.5169,39.2192,Fushun,41.8654,123.87,
Nairobi,-1.2833,36.8167,Changde,29.03,111.68,
Hangzhou,30.25,120.17,Daejeon,36.3355,127.425,
Benoni,-26.1496,28.3299,Charlotte,35.2079,-80.8304,
Caracas,10.501,-66.917,Phnom Penh,11.55,104.9166,
Milan,45.47,9.205,Neijiang,29.5804,105.05,
Stuttgart,48.78,9.2,Quanzhou,24.9,118.58,
Kunming,25.07,102.68,Kharkiv,50,36.25,
Dar es Salaam,-6.8,39.2683,Hyderabad City,25.38,68.375,
Minneapolis,44.9635,-93.2678,Bronx,40.8501,-73.8662,
Jaipur,26.9211,75.81,Lomé,6.1319,1.2228,
Taiyuan,37.875,112.5451,Córdoba,-31.4,-64.1823,
Frankfurt,50.1,8.675,Huainan,32.63,116.98,
Qingdao,36.09,120.33,Doha,25.2866,51.533,
Surabaya,-7.2492,112.7508,Kuala Lumpur,3.1667,101.7,
Lisbon,38.7227,-9.1449,Maputo,-25.9553,32.5892,
Tampa,27.9942,-82.4451,Kaduna,10.52,7.44,
Jinan,36.675,116.995,Gwangju,35.171,126.9104,
Fukuoka,33.595,130.41,Kawanakajima,35.53,139.705,
Campinas,-22.9,-47.1,San Salvador,13.71,-89.203,
Denver,39.7621,-104.8759,Suining,30.5333,105.5333,
Kaohsiung,22.6333,120.2666,Lyon,45.77,4.83,
Quezon City,14.6504,121.03,Karaj,35.8004,50.97,
Katowice,50.2604,19.02,Kampala,0.3167,32.5833,
Aleppo,36.23,37.17,Tabrīz,38.0863,46.3012,
Durban,-29.865,30.98,The Hague,52.08,4.27,
Kyiv,50.4334,30.5166,Davao,7.11,125.63,
Lucknow,26.855,80.915,Marseille,43.29,5.375,
Giza,30.01,31.19,Meerut,29.0004,77.7,
Zhengzhou,34.755,113.6651,Mianyang,31.47,104.77,
Taichung,24.1521,120.6817,Semarang,-6.9666,110.42,
Brooklyn,40.6501,-73.9496,Farīdābād,28.4333,77.3167,
Ibadan,7.38,3.93,Novosibirsk,55.03,82.96,
Faisalabad,31.41,73.11,Mecca,21.43,39.82,
Fuzhou,26.08,119.3,Dubai,25.23,55.28,
Changsha,28.2,112.97,Milwaukee,43.0642,-87.9673,
Dakar,14.7158,-17.4731,Auckland,-36.8481,174.763,
İzmir,38.4361,27.1518,Ma’anshan,31.7304,118.48,
Xiangtan,27.8504,112.9,Brazzaville,-4.2592,15.2847,
Lanzhou,36.056,103.792,Yiyang,28.6004,112.33,
Incheon,37.4761,126.6422,Vārānasi,25.33,83,
Sapporo,43.075,141.34,Lubumbashi,-11.68,27.48,
Xiamen,24.45,118.08,Juárez,31.6904,-106.49,
Guayaquil,-2.22,-79.92,Ghāziābād,28.6604,77.4084,
George Town,5.4136,100.3294,Pretoria,-25.7069,28.2294,
Mashhad,36.27,59.57,Heze,35.23,115.45,
Damascus,33.5,36.3,Porto,41.15,-8.62,
Daegu,35.8668,128.607,Āsansol,23.6833,86.9833,
Nāgpur,21.17,79.09,Lusaka,-15.4166,28.2833,
Lianshan,40.7503,120.83,Changzhou,31.78,119.97,
Shijiazhuang,38.05,114.48,Mosul,36.345,43.145,
Tunis,36.8028,10.1797,Yekaterinburg,56.85,60.6,
Vienna,48.2,16.3666,Peshawar,34.005,71.535,
Jilin,43.85,126.55,Mandalay,21.97,96.085,
Omdurman,15.6167,32.48,Jamshedpur,22.7875,86.1975,
Bandung,-6.95,107.57,Mbuji-Mayi,-6.15,23.6,
Bekasi,-6.2173,106.9723,Madura,9.92,78.12,
Mannheim,49.5004,8.47,Adana,36.995,35.32,
Nanchang,28.68,115.88,Sheffield,53.3667,-1.5,
Wenzhou,28.02,120.6501,Jabalpur,23.1751,79.9551,
Queens,40.7498,-73.7976,San José,9.935,-84.0841,
Vancouver,49.2734,-123.1216,Panama City,8.968,-79.533,
Birmingham,52.475,-1.92,Nizhniy Novgorod,56.333,44.0001,
Cali,3.4,-76.5,Chifeng,42.27,118.95,
Naples,40.84,14.245,Duisburg,51.43,6.75,
Sendai,38.2871,141.0217,Munich,48.1299,11.575,
Manchester,53.5004,-2.248,Huaiyin,33.58,119.03,
Puebla,19.05,-98.2,Stockholm,59.3508,18.0973,
Tripoli,32.8925,13.18,Makassar,-5.14,119.432,
Tashkent,41.3117,69.2949,Rājkot,22.31,70.8,
Havana,23.132,-82.3642,Dhanbād,23.8004,86.42,
Gaoping,30.7804,106.13,Mudanjiang,44.575,129.59,
Baltimore,39.3051,-76.6144,Geneva,46.21,6.14,
Nanning,22.82,108.32,Shīrāz,29.63,52.57,
Belém,-1.45,-48.48,Huzhou,30.8704,120.1,
Patna,25.625,85.13,Beidao,34.6,105.92,
Santo Domingo,18.4701,-69.9001,Shuangshui,26.5944,104.8333,
Ürümqi,43.805,87.575,Düsseldorf,51.2204,6.78,
Zaozhuang,34.88,117.57,Gaozhou,21.9204,110.87,
Baku,40.3953,49.8622,Sevilla,37.405,-5.98,
Accra,5.55,-0.2167,Amritsar,31.64,74.87,
Yantai,37.5304,121.4,Vila Velha,-20.3676,-40.318,
Medan,3.58,98.65,Vila Velha,3.2167,-51.2167,
Santa Cruz,-17.7539,-63.226,Almaty,43.325,76.915,
Warangal,18.01,79.58,Hyderabad,17.4,78.48,
Rosario,-32.9511,-60.6663,Dallas,32.7936,-96.7662,
Allahābād,25.455,81.84,Santiago,-33.45,-70.667,
Benin City,6.3405,5.62,Philadelphia,40.0077,-75.1339,
Jining,35.4004,116.55,Belo Horizonte,-19.915,-43.915,
Maceió,-9.62,-35.73,Madrid,40.4,-3.6834,
Sofia,42.6833,23.3167,Houston,29.7869,-95.3905,
Abbottabad,34.1495,73.1995,Ahmadābād,23.0301,72.58,
Benghazi,32.1167,20.0667,Ho Chi Minh City,10.78,106.695,
Cilacap,-7.7188,109.0154,Washington,38.9047,-77.0163,
Prague,50.0833,14.466,Atlanta,33.7627,-84.4225,
Glasgow,55.8744,-4.2507,Toronto,43.7,-79.42,
Leshan,29.5671,103.7333,Singapore,1.293,103.8558,
Jacksonville,30.3322,-81.6749,Luanda,-8.8383,13.2344,
Ouagadougou,12.3703,-1.5247,Baghdad,33.3386,44.3939,
Ottawa,45.4167,-75.7,Barcelona,41.3833,2.1834,
Adelaide,-34.935,138.6,Hāora,22.5804,88.3299,
Shangrao,28.4704,117.97,Shenyang,41.805,123.45,
Torreón,25.5701,-103.42,Khartoum,15.5881,32.5342,
Srīnagar,34.1,74.815,Pune,18.53,73.85,
Bezwāda,16.52,80.63,Boston,42.3188,-71.0846,
Samara,53.195,50.1513,Sydney,-33.92,151.1852,
Omsk,54.99,73.4,Saint Petersburg,59.939,30.316,
Newcastle,-32.8453,151.815,Chittagong,22.33,91.8,
Yulin,22.63,110.15,Dongguan,23.0489,113.7447,
Namp’o,38.7669,125.4524,Riyadh,24.6408,46.7727,
Xianyang,34.3456,108.7147,Hanoi,21.0333,105.85,
Cagayan de Oro,8.4508,124.6853,Guadalajara,20.67,-103.33,
Cần Thơ,10.05,105.77,Melbourne,-37.82,144.975,
Barquisimeto,10.05,-69.3,Alexandria,31.2,29.95,
Helsinki,60.1756,24.9341,Chengdu,30.67,104.07,
Kazan’,55.7499,49.1263,Rangoon,16.7834,96.1667,
Aurangābād,19.8957,75.3203,Phoenix,33.5722,-112.0891,
Calgary,51.083,-114.08,Xi’an,34.275,108.895,
Ciudad Nezahualcóyotl,19.41,-99.03,Porto Alegre,-30.05,-51.2,
Zürich,47.38,8.55,Sūrat,21.2,72.84,
Baoding,38.8704,115.48,Hechi,23.0965,109.6091,
Zigong,29.4,104.78,Abidjan,5.32,-4.04,
Sharjah,25.3714,55.4065,Brasília,-15.7833,-47.9161,
Tokyo,35.685,139.7514,Ankara,39.9272,32.8644,
New York,40.6943,-73.9249,Monterrey,25.67,-100.33,
Mexico City,19.4424,-99.131,Yokohama,35.32,139.58,
Mumbai,19.017,72.857,Nanjing,32.05,118.78,
São Paulo,-23.5587,-46.625,Montréal,45.5,-73.5833,
Delhi,28.67,77.23,Guiyang,26.58,106.72,
Shanghai,31.2165,121.4365,Recife,-8.0756,-34.9156,
Kolkata,22.495,88.3247,Seattle,47.6211,-122.3244,
Los Angeles,34.1139,-118.4068,Harbin,45.75,126.65,
Dhaka,23.7231,90.4086,San Francisco,37.7562,-122.443,
Buenos Aires,-34.6025,-58.3975,Fortaleza,-3.75,-38.58,
Karachi,24.87,66.99,Zhangzhou,24.5204,117.67,
Cairo,30.05,31.25,Detroit,42.3834,-83.1024,
Rio de Janeiro,-22.925,-43.225,Salvador,-12.97,-38.48,
Ōsaka,34.75,135.4601,Busan,35.0951,129.01,
Beijing,39.9289,116.3883,Johannesburg,-26.17,28.03,
Manila,14.6042,120.9822,Berlin,52.5218,13.4015,
Moscow,55.7522,37.6155,Algiers,36.7631,3.0506,
Istanbul,41.105,29.01,Rome,41.896,12.4833,
Paris,48.8667,2.3333,Pyongyang,39.0194,125.7547,
Seoul,37.5663,126.9997,Medellín,6.275,-75.575,
Lagos,6.4433,3.3915,Kabul,34.5167,69.1833,
Jakarta,-6.1744,106.8294,Athens,37.9833,23.7333,
Guangzhou,23.145,113.325,Nagoya,35.155,136.915,
Chicago,41.8373,-87.6862,Cape Town,-33.92,18.435,
London,51.5,-0.1167,San Diego,32.8312,-117.1225,
Lima,-12.048,-77.0501,Changchun,43.865,125.34,
Tehran,35.6719,51.4243,Casablanca,33.6,-7.6164,
Kinshasa,-4.3297,15.315,Dalian,38.9228,121.6298,
Bogotá,4.5964,-74.0833,Cawnpore,26.46,80.32,
Shenzhen,22.5524,114.1221,Kano,12,8.52,
Wuhan,30.58,114.27,Tel Aviv-Yafo,32.08,34.77,
Hong Kong,22.305,114.185,Addis Ababa,9.0333,38.7,
Tianjin,39.13,117.2,Curitiba,-25.42,-49.32,
Chennai,13.09,80.28,Zibo,36.8,118.05,
Taipei,25.0358,121.5683,Jeddah,21.5169,39.2192,
Bengalūru,12.97,77.56,Nairobi,-1.2833,36.8167,
Bangkok,13.75,100.5166,Hangzhou,30.25,120.17,
Santiago,-33.45,-70.667,Benoni,-26.1496,28.3299,
Philadelphia,40.0077,-75.1339,Caracas,10.501,-66.917,
Belo Horizonte,-19.915,-43.915,Milan,45.47,9.205,
Madrid,40.4,-3.6834,Stuttgart,48.78,9.2,
Houston,29.7869,-95.3905,Kunming,25.07,102.68,
Ahmadābād,23.0301,72.58,Dar es Salaam,-6.8,39.2683,
Ho Chi Minh City,10.78,106.695,Minneapolis,44.9635,-93.2678,
Washington,38.9047,-77.0163,Jaipur,26.9211,75.81,
Atlanta,33.7627,-84.4225,Taiyuan,37.875,112.5451,
Toronto,43.7,-79.42,Frankfurt,50.1,8.675,
Singapore,1.293,103.8558,Qingdao,36.09,120.33,
Luanda,-8.8383,13.2344,Surabaya,-7.2492,112.7508,
Baghdad,33.3386,44.3939,Lisbon,38.7227,-9.1449,
Barcelona,41.3833,2.1834,Tampa,27.9942,-82.4451,
Hāora,22.5804,88.3299,Jinan,36.675,116.995,
Shenyang,41.805,123.45,Fukuoka,33.595,130.41,
Khartoum,15.5881,32.5342,Campinas,-22.9,-47.1,
Pune,18.53,73.85,Denver,39.7621,-104.8759,
Boston,42.3188,-71.0846,Kaohsiung,22.6333,120.2666,
Sydney,-33.92,151.1852,Quezon City,14.6504,121.03,
Saint Petersburg,59.939,30.316,Katowice,50.2604,19.02,
Chittagong,22.33,91.8,Aleppo,36.23,37.17,
Dongguan,23.0489,113.7447,Durban,-29.865,30.98,
Riyadh,24.6408,46.7727,Kyiv,50.4334,30.5166,
Hanoi,21.0333,105.85,Lucknow,26.855,80.915,
Guadalajara,20.67,-103.33,Giza,30.01,31.19,
Melbourne,-37.82,144.975,Zhengzhou,34.755,113.6651,
Alexandria,31.2,29.95,Taichung,24.1521,120.6817,
Chengdu,30.67,104.07,Brooklyn,40.6501,-73.9496,
Rangoon,16.7834,96.1667,Ibadan,7.38,3.93,
Phoenix,33.5722,-112.0891,Faisalabad,31.41,73.11,
Xi’an,34.275,108.895,Fuzhou,26.08,119.3,
Porto Alegre,-30.05,-51.2,Changsha,28.2,112.97,
Sūrat,21.2,72.84,Dakar,14.7158,-17.4731,
Hechi,23.0965,109.6091,İzmir,38.4361,27.1518,
Abidjan,5.32,-4.04,Xiangtan,27.8504,112.9,
Brasília,-15.7833,-47.9161,Lanzhou,36.056,103.792,
Ankara,39.9272,32.8644,Incheon,37.4761,126.6422,
Monterrey,25.67,-100.33,Sapporo,43.075,141.34,
Yokohama,35.32,139.58,Xiamen,24.45,118.08,
Nanjing,32.05,118.78,Guayaquil,-2.22,-79.92,
Montréal,45.5,-73.5833,George Town,5.4136,100.3294,
Guiyang,26.58,106.72,Mashhad,36.27,59.57,
Recife,-8.0756,-34.9156,Damascus,33.5,36.3,
Seattle,47.6211,-122.3244,Daegu,35.8668,128.607,
Harbin,45.75,126.65,Nāgpur,21.17,79.09,
San Francisco,37.7562,-122.443,Lianshan,40.7503,120.83,
Fortaleza,-3.75,-38.58,Shijiazhuang,38.05,114.48,
Zhangzhou,24.5204,117.67,Tunis,36.8028,10.1797,
Detroit,42.3834,-83.1024,Vienna,48.2,16.3666,
Salvador,-12.97,-38.48,Jilin,43.85,126.55,
Busan,35.0951,129.01,Omdurman,15.6167,32.48,
Johannesburg,-26.17,28.03,Bandung,-6.95,107.57,
Berlin,52.5218,13.4015,Bekasi,-6.2173,106.9723,
Algiers,36.7631,3.0506,Mannheim,49.5004,8.47,
Rome,41.896,12.4833,Nanchang,28.68,115.88,
Pyongyang,39.0194,125.7547,Wenzhou,28.02,120.6501,
Medellín,6.275,-75.575,Queens,40.7498,-73.7976,
Kabul,34.5167,69.1833,Vancouver,49.2734,-123.1216,
Athens,37.9833,23.7333,Birmingham,52.475,-1.92,
Nagoya,35.155,136.915,Cali,3.4,-76.5,
Cape Town,-33.92,18.435,Naples,40.84,14.245,
San Diego,32.8312,-117.1225,Sendai,38.2871,141.0217,
Changchun,43.865,125.34,Manchester,53.5004,-2.248,
Casablanca,33.6,-7.6164,Puebla,19.05,-98.2,
Dalian,38.9228,121.6298,Tripoli,32.8925,13.18,
Cawnpore,26.46,80.32,Tashkent,41.3117,69.2949,
Kano,12,8.52,Havana,23.132,-82.3642,
Tel Aviv-Yafo,32.08,34.77,Gaoping,30.7804,106.13,
Addis Ababa,9.0333,38.7,Baltimore,39.3051,-76.6144,
Curitiba,-25.42,-49.32,Nanning,22.82,108.32,
Zibo,36.8,118.05,Belém,-1.45,-48.48,
Jeddah,21.5169,39.2192,Patna,25.625,85.13,
Nairobi,-1.2833,36.8167,Santo Domingo,18.4701,-69.9001,
Hangzhou,30.25,120.17,Ürümqi,43.805,87.575,
Benoni,-26.1496,28.3299,Zaozhuang,34.88,117.57,
Caracas,10.501,-66.917,Baku,40.3953,49.8622,
Milan,45.47,9.205,Accra,5.55,-0.2167,
Stuttgart,48.78,9.2,Yantai,37.5304,121.4,
Kunming,25.07,102.68,Medan,3.58,98.65,
Dar es Salaam,-6.8,39.2683,Santa Cruz,-17.7539,-63.226,
Minneapolis,44.9635,-93.2678,Tongshan,34.28,117.18,
Jaipur,26.9211,75.81,Riverside,33.9381,-117.3948,
Taiyuan,37.875,112.5451,Linyi,35.08,118.33,
Frankfurt,50.1,8.675,St. Louis,38.6358,-90.2451,
Qingdao,36.09,120.33,Las Vegas,36.2333,-115.2654,
Surabaya,-7.2492,112.7508,Maracaibo,10.73,-71.66,
Lisbon,38.7227,-9.1449,Kuwait City,29.3697,47.9783,
Tampa,27.9942,-82.4451,Ad Dammām,26.4282,50.0997,
Jinan,36.675,116.995,Portland,45.5371,-122.65,
Fukuoka,33.595,130.41,Haikou,20.05,110.32,
Campinas,-22.9,-47.1,Hiroshima,34.3878,132.4429,
Denver,39.7621,-104.8759,Baotou,40.6522,109.822,
Kaohsiung,22.6333,120.2666,Hefei,31.85,117.28,
Quezon City,14.6504,121.03,Indore,22.7151,75.865,
Katowice,50.2604,19.02,Goiânia,-16.72,-49.3,
Aleppo,36.23,37.17,Sanaa,15.3547,44.2066,
Durban,-29.865,30.98,San Antonio,29.4658,-98.5254,
Kyiv,50.4334,30.5166,Port-au-Prince,18.541,-72.336,
Lucknow,26.855,80.915,Haiphong,20.83,106.6801,
Giza,30.01,31.19,Suzhou,33.6361,116.9789,
Zhengzhou,34.755,113.6651,Nanyang,33.0004,112.53,
Taichung,24.1521,120.6817,Bucharest,44.4334,26.0999,
Brooklyn,40.6501,-73.9496,Ningbo,29.88,121.55,
Ibadan,7.38,3.93,Douala,4.0604,9.71,
Faisalabad,31.41,73.11,Tangshan,39.6243,118.1944,
Fuzhou,26.08,119.3,Tainan,23,120.2,
Changsha,28.2,112.97,Xiping,40.08,113.3,
Dakar,14.7158,-17.4731,Asunción,-25.2964,-57.6415,
İzmir,38.4361,27.1518,Saidu Sharif,34.75,72.35,
Xiangtan,27.8504,112.9,Brisbane,-27.455,153.0351,
Lanzhou,36.056,103.792,Rawalpindi,33.6,73.04,
Incheon,37.4761,126.6422,Sacramento,38.5667,-121.4683,
Sapporo,43.075,141.34,Beirut,33.872,35.5097,
Xiamen,24.45,118.08,San Jose,37.3021,-121.8489,
Guayaquil,-2.22,-79.92,Minsk,53.9,27.5666,
George Town,5.4136,100.3294,Kyōto,35.03,135.75,
Mashhad,36.27,59.57,Barranquilla,10.96,-74.8,
Damascus,33.5,36.3,Orlando,28.4772,-81.3369,
Daegu,35.8668,128.607,Shuyangzha,34.1299,118.7734,
Nāgpur,21.17,79.09,Valencia,10.23,-67.98,
Lianshan,40.7503,120.83,Hamburg,53.55,10,
Shijiazhuang,38.05,114.48,Vadodara,22.31,73.18,
Tunis,36.8028,10.1797,Manaus,-3.1,-60,
Vienna,48.2,16.3666,Shangqiu,34.4504,115.65,
Jilin,43.85,126.55,Wuxi,31.58,120.3,
Omdurman,15.6167,32.48,Palembang,-2.98,104.75,
Bandung,-6.95,107.57,Brussels,50.8333,4.3333,
Bekasi,-6.2173,106.9723,Essen,51.45,7.0166,
Mannheim,49.5004,8.47,Cleveland,41.4767,-81.6805,
Nanchang,28.68,115.88,Bhopal,23.25,77.41,
Wenzhou,28.02,120.6501,Hohhot,40.82,111.66,
Queens,40.7498,-73.7976,Pittsburgh,40.4396,-79.9763,
Vancouver,49.2734,-123.1216,Luoyang,34.68,112.4701,
Birmingham,52.475,-1.92,Santos,-23.9537,-46.3329,
Cali,3.4,-76.5,Jingling,30.6501,113.16,
Naples,40.84,14.245,Warsaw,52.25,21,
Sendai,38.2871,141.0217,Rabat,34.0253,-6.8361,
Manchester,53.5004,-2.248,Vitória,-20.324,-40.366,
Puebla,19.05,-98.2,Quito,-0.215,-78.5001,
Tripoli,32.8925,13.18,Antananarivo,-18.9166,47.5166,
Tashkent,41.3117,69.2949,Coimbatore,11,76.95,
Havana,23.132,-82.3642,Daqing,46.58,125,
Gaoping,30.7804,106.13,Lu’an,31.7503,116.48,
Baltimore,39.3051,-76.6144,Sanzhou,30.82,108.4,
Nanning,22.82,108.32,Budapest,47.5,19.0833,
Belém,-1.45,-48.48,Turin,45.0704,7.67,
Patna,25.625,85.13,Suzhou,31.3005,120.62,
Santo Domingo,18.4701,-69.9001,Ludhiāna,30.9278,75.8723,
Ürümqi,43.805,87.575,Cincinnati,39.1412,-84.506,
Zaozhuang,34.88,117.57,Kumasi,6.69,-1.63,
Baku,40.3953,49.8622,Manhattan,40.7834,-73.9662,
Accra,5.55,-0.2167,Qiqihar,47.345,123.99,
Yantai,37.5304,121.4,Anshan,41.115,122.94,
Medan,3.58,98.65,Austin,30.3006,-97.7517,
Santa Cruz,-17.7539,-63.226,Zhongli,24.965,121.2168,
Tongshan,34.28,117.18,Handan,36.58,114.48,
Riverside,33.9381,-117.3948,Tai’an,36.2,117.1201,
Linyi,35.08,118.33,Eşfahān,32.7,51.7,
St. Louis,38.6358,-90.2451,Kansas City,39.1239,-94.5541,
Las Vegas,36.2333,-115.2654,Yaoundé,3.8667,11.5167,
Maracaibo,10.73,-71.66,Shantou,23.37,116.67,
Kuwait City,29.3697,47.9783,Āgra,27.1704,78.015,
Ad Dammām,26.4282,50.0997,Zhanjiang,21.2,110.38,
Portland,45.5371,-122.65,La Paz,-16.498,-68.15,
Haikou,20.05,110.32,Kalyān,19.2502,73.1602,
Hiroshima,34.3878,132.4429,Abuja,9.0833,7.5333,
Baotou,40.6522,109.822,Harare,-17.8178,31.0447,
Tokyo,35.685,139.7514,Indianapolis,39.7771,-86.1458,
New York,40.6943,-73.9249,Xiantao,30.3704,113.44,
Mexico City,19.4424,-99.131,Khulna,22.84,89.56,
Mumbai,19.017,72.857,Weifang,36.7204,119.1001,
